timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:53:04.954, 2303 MiB, 29809 MiB, 3 %
2026/05/28 16:53:05.154, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:05.354, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:05.554, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:05.755, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:05.955, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:06.155, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:06.355, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:06.555, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:06.755, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:06.955, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:07.155, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:07.355, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:07.555, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:07.756, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:07.956, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:08.156, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:08.356, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:08.556, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:08.756, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:08.956, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:09.156, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:09.356, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:09.556, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:09.757, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:09.957, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:10.157, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:10.357, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:10.557, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:10.757, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:10.957, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:11.157, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:11.358, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:11.558, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:11.758, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:11.958, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:12.158, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:12.358, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:12.558, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:12.758, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:12.958, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:13.159, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:13.359, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:13.559, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:13.759, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:13.959, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:14.159, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:14.359, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:14.559, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:14.760, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:14.960, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:15.160, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:15.360, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:15.560, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:15.761, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:15.961, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:16.161, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:16.361, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:16.561, 2303 MiB, 29809 MiB, 0 %
2026/05/28 16:53:16.762, 2303 MiB, 29809 MiB, 0 %
