timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:54:23.361, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:23.562, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:23.762, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:23.962, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:24.162, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:24.362, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:24.562, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:24.762, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:24.962, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:25.162, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:25.363, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:25.563, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:25.763, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:25.963, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:26.163, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:26.363, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:26.563, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:26.763, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:26.963, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:27.164, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:27.364, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:27.564, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:27.764, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:27.964, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:28.164, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:28.364, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:28.564, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:28.764, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:28.965, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:29.165, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:29.365, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:29.565, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:29.765, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:29.965, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:30.165, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:30.365, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:30.565, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:30.766, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:30.966, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:31.166, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:31.366, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:31.566, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:31.766, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:31.966, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:32.166, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:32.366, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:32.567, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:32.767, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:32.967, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:33.167, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:33.367, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:33.567, 3355 MiB, 28757 MiB, 2 %
2026/05/28 16:54:33.767, 3355 MiB, 28757 MiB, 2 %
2026/05/28 16:54:33.967, 3355 MiB, 28757 MiB, 2 %
2026/05/28 16:54:34.167, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:34.368, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:34.568, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:34.768, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:34.968, 3355 MiB, 28757 MiB, 3 %
2026/05/28 16:54:35.168, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:35.368, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:35.568, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:35.768, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:35.968, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:36.169, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:36.369, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:36.569, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:36.769, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:36.969, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:37.169, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:37.369, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:37.569, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:37.770, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:37.970, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:38.170, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:38.370, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:38.570, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:38.770, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:38.970, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:39.170, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:39.370, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:39.571, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:39.771, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:39.971, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:40.171, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:40.371, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:40.571, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:40.771, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:40.971, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:41.171, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:41.372, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:41.572, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:41.772, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:41.972, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:42.172, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:42.372, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:42.572, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:42.772, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:42.972, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:43.173, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:43.373, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:43.573, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:43.773, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:43.973, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:44.173, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:44.373, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:44.573, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:44.774, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:44.974, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:45.174, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:45.374, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:45.574, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:45.774, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:54:45.974, 3355 MiB, 28757 MiB, 0 %
