Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=loop_multiply_subtract_transpose_fusion.2#,PushPop,2090884,57530,8,261360.5,261009.0,260576,262944,872.6,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.63#",PushPop,2089601,2565521,270,7739.3,7712.0,7295,9376,259.2,270,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call/slice,hlo_op=wrapped_slice.11#",PushPop,2058727,10081381,2700,762.5,768.0,736,1248,23.0,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_transpose_fusion.51#",PushPop,1920614,1701637,270,7113.4,6943.0,6719,13184,830.1,270,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_divide_multiply_select_fusion#,PushPop,1898020,1327660,12,158168.3,138528.5,132160,209920,32484.9,18,1.5,0.0,1.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.64#",PushPop,1885261,2096012,270,6982.4,6927.5,6527,7808,278.9,270,1.0,2.0,0.0
TSL:Thunk:#hlo_op=loop_divide_multiply_select_fusion#,PushPop,1854788,61571,12,154565.7,134208.0,132160,207681,31874.4,12,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_concatenate_fusion.60#",PushPop,1818506,5009167,270,6735.2,6687.0,6399,7295,192.3,270,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_add_divide_pad_transpose_fusion#,PushPop,1738371,1704054,8,217296.4,216240.5,212321,223328,4527.9,12,1.5,0.0,1.0
TSL:XlaModule:#hlo_module=loop_add_divide_pad_transpose_fusion.1#,PushPop,1736451,1400591,8,217056.4,215184.0,210208,230592,7825.3,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_divide_pad_transpose_fusion#,PushPop,1703747,51001,8,212968.4,212816.0,212032,214593,822.6,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_add_divide_pad_transpose_fusion.1#,PushPop,1680355,61480,8,210044.4,210817.0,202848,211968,2984.7,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_add_maximum_multiply_fusion#,PushPop,1602594,1007838,8,200324.3,199024.0,195969,207552,3872.7,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_maximum_multiply_fusion#,PushPop,1572354,28360,8,196544.3,195744.5,195392,199104,1582.5,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call,hlo_op=input_transpose_fusion.25#",PushPop,1460715,5615061,270,5410.1,5375.0,5279,9536,265.4,270,1.0,2.0,0.0
TSL:Thunk:#hlo_op=copy.3996#,PushPop,1411166,27337438,1800,784.0,768.0,736,1376,32.4,1800,1.0,3.0,0.0
TSL:XlaModule:#hlo_module=loop_add_select_fusion.1#,PushPop,1236193,1075751,8,154524.1,155328.5,143072,161504,7016.1,12,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_add_select_fusion.1#,PushPop,1187233,46260,8,148404.1,145488.0,143072,160928,6532.9,8,1.0,1.0,0.0
TSL:XlaModule:#hlo_module=loop_transpose_fusion.1#,PushPop,1135361,1002829,8,141920.1,140272.5,135040,150208,4907.4,12,1.5,0.0,1.0
TSL:XlaModule:#hlo_module=loop_power_fusion.4#,PushPop,1103011,845636,12,91917.6,87024.5,79488,114112,13223.6,18,1.5,0.0,1.0
TSL:Thunk:#hlo_op=loop_transpose_fusion.1#,PushPop,1097761,42940,8,137220.1,135728.0,135040,140385,2449.5,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_power_fusion.4#,PushPop,1060291,49870,12,88357.6,79616.0,79329,106273,13066.3,12,1.0,1.0,0.0
