Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TSL:Thunk:#hlo_op=copy.4957#,PushPop,70496,297541,90,783.3,768.0,736,832,19.3,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=copy.5108#,PushPop,70080,1093954,90,778.7,768.0,736,832,16.6,90,1.0,2.0,0.0
TSL:Thunk:#hlo_op=copy.4956#,PushPop,70015,397910,90,777.9,768.0,736,832,18.3,90,1.0,2.0,0.0
TSL:XlaModule:#hlo_module=loop_add_fusion.34#,PushPop,69024,216022,8,8628.0,6992.0,3488,19264,6027.6,12,1.5,0.0,1.0
TSL:XlaModule:#hlo_module=loop_subtract_fusion.3#,PushPop,67232,327911,12,5602.7,3936.0,864,16768,5005.7,18,1.5,0.0,1.0
TSL:XlaModule:#hlo_module=loop_subtract_fusion.2#,PushPop,66656,316752,12,5554.7,3840.0,832,17152,5170.6,18,1.5,0.0,1.0
TSL:Thunk:#hlo_op=input_transpose_fusion.94#,PushPop,62624,45130,8,7828.0,7712.0,6272,9600,1654.9,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_slice_fusion.36#,PushPop,59712,34320,8,7464.0,6272.0,6240,10272,1712.5,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.56#,PushPop,58464,50820,8,7308.0,6464.0,6048,10272,1808.8,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.67#,PushPop,57408,34560,8,7176.0,7328.0,4352,9760,2210.2,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(convert_element_type)/convert_element_type,hlo_op=wrapped_convert#",PushPop,56320,220962,33,1706.7,1024.0,896,4448,1066.8,33,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.59#,PushPop,53120,40410,8,6640.0,6592.0,6496,6848,148.1,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.71#,PushPop,50848,36190,8,6356.0,6016.0,5696,7744,846.6,8,1.0,1.0,0.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=51#",PushPop,50016,888148,64,781.5,768.0,736,896,27.2,64,1.0,0.0,1.0
TSL:Thunk:#hlo_op=loop_convert_multiply_subtract_fusion#,PushPop,48704,33860,8,6088.0,4096.0,4032,10976,2873.1,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.89#,PushPop,47456,29090,8,5932.0,5920.0,5120,6784,835.0,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_divide_multiply_slice_fusion.1#,PushPop,43968,62790,8,5496.0,4592.0,4544,7904,1334.6,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.101#,PushPop,41344,43070,8,5168.0,5264.0,4608,5472,327.7,8,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_transpose_fusion.42#,PushPop,37216,30390,8,4652.0,4304.0,4128,5568,602.8,8,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=129#",PushPop,36384,262963,24,1516.0,1472.0,1376,1728,102.9,24,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_scatter,program_id=67#",PushPop,35969,114051,3,11989.7,10912.0,8001,17056,4622.7,9,3.0,0.0,3.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=121#",PushPop,31200,734634,36,866.7,800.0,736,1696,213.4,36,1.0,0.0,1.0
"TSL:Thunk:#name=jit(add)/add,hlo_op=wrapped_add#",PushPop,28896,166821,21,1376.0,928.0,768,3680,978.3,21,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_add_fusion.34#,PushPop,28192,26360,8,3524.0,3504.0,3488,3584,43.4,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(multiply)/mul,hlo_op=loop_multiply_fusion#",PushPop,27680,227051,30,922.7,800.0,768,2656,359.8,30,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_subtract_fusion.5#,PushPop,27456,61640,12,2288.0,1824.0,1376,4128,1005.1,12,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_scatter,program_id=307#",PushPop,22913,94140,4,5728.3,5952.5,3680,7328,1626.9,12,3.0,0.0,3.0
"TSL:Thunk:#name=jit(arctan)/atan,hlo_op=loop_atan2_fusion#",PushPop,22592,104380,13,1737.8,1696.0,1600,2016,141.5,13,1.0,1.0,0.0
"TSL:Thunk:#name=jit(log)/log,hlo_op=wrapped_log#",PushPop,22496,347872,14,1606.9,1536.0,1472,2176,186.2,14,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_log,program_id=3#",PushPop,22496,661255,14,1606.9,1536.0,1472,2176,186.2,14,1.0,0.0,1.0
TSL:Thunk:#hlo_op=loop_dynamic_slice_fusion#,PushPop,22272,245372,20,1113.6,896.0,832,2816,482.9,20,1.0,1.0,0.0
"TSL:Thunk:#name=jit(dynamic_slice)/dynamic_slice,hlo_op=wrapped_dynamic-slice#",PushPop,21664,208192,24,902.7,896.0,768,1280,121.6,24,1.0,1.0,0.0
"TSL:Thunk:#name=jit(true_divide),hlo_op=loop_divide_fusion#",PushPop,21184,30220,3,7061.3,8864.0,1568,10752,4850.1,3,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit__reduce_max,program_id=265#",PushPop,21088,74110,2,10544.0,10544.0,8672,12416,2647.4,4,2.0,0.0,2.0
TSL:Thunk:#hlo_op=loop_dynamic_update_slice_fusion.121#,PushPop,20768,50621,8,2596.0,2064.0,2016,4736,945.9,8,1.0,1.0,0.0
"TSL:Thunk:#name=jit(subtract)/sub,hlo_op=wrapped_subtract#",PushPop,20224,172990,18,1123.6,832.0,768,3168,708.4,18,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=87#",PushPop,20192,269561,28,721.1,704.0,672,896,56.8,28,1.0,0.0,1.0
TSL:Thunk:#hlo_op=loop_subtract_fusion.4#,PushPop,18432,51160,12,1536.0,1424.0,1024,2336,517.1,12,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_subtract_fusion.3#,PushPop,17984,56020,12,1498.7,1328.0,864,3712,853.5,12,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_subtract_fusion.2#,PushPop,17728,57681,12,1477.3,1296.0,832,3776,871.2,12,1.0,1.0,0.0
"TSL:Thunk:#name=jit(multiply)/mul,hlo_op=wrapped_multiply#",PushPop,17280,308203,18,960.0,832.0,768,1856,334.5,18,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=131#",PushPop,16320,82601,7,2331.4,2240.0,2208,2752,190.6,7,1.0,0.0,1.0
